,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
18587,Subaru,Impreza,2016,Red,1650000,Foreign Used,Automatic,45200.0
18588,Toyota,Fortuner,2017,Gray,6500000,Foreign Used,Automatic,62540.0
18589,Honda,Fit,2014,White,970000,Kenyan Used,Automatic,165231.0
18590,Toyota,Sienta,2014,White,980000,Kenyan Used,Automatic,
18591,BMW,X6,2010,Blue,1590000,Kenyan Used,Automatic,
18592,Toyota,Land,2016,White,5600000,Foreign Used,Automatic,
18593,Subaru,XV,2016,Blue,2299999,Foreign Used,Automatic,63000.0
18594,Peugeot,208,2016,White,1270000,Foreign Used,Automatic,
18595,Subaru,Legacy,2012,White,1300000,Kenyan Used,Automatic,139351.0
18596,Nissan,Tiida,2010,White,595000,Kenyan Used,Automatic,
18597,Mercedes-Benz,C180,1998,Blue,680000,Kenyan Used,Manual,
18598,Peugeot,3008,2017,White,3870000,Foreign Used,Automatic,73000.0
18599,Toyota,Harrier,2016,Black,3600000,Foreign Used,Automatic,82242.0
18600,Toyota,Succeed,2016,White,1150000,Foreign Used,Automatic,133000.0
18601,Toyota,Noah,2010,Black,1250000,Kenyan Used,Automatic,
18602,Land,Rover,2016,Beige,10000000,Foreign Used,Automatic,64000.0
18603,Nissan,March,2014,White,960000,Foreign Used,Automatic,85000.0
18604,Volkswagen,Touareg,2012,Black,3000000,Kenyan Used,Automatic,120000.0
18605,Toyota,IST,2006,Black,670000,Kenyan Used,Automatic,
18606,Nissan,X-Trail,2004,Gray,585000,Kenyan Used,Automatic,
18607,Toyota,Mark,2005,Silver,595000,Kenyan Used,Automatic,
18608,Toyota,Vitz,2014,White,875000,Kenyan Used,Automatic,128000.0
18609,Toyota,Harrier,2017,Pearl,3800000,Foreign Used,Automatic,36505.0
18610,Honda,Insight,2012,Blue,780000,Foreign Used,Automatic,124521.0
18611,Subaru,Outback,2012,White,1550000,Kenyan Used,Automatic,85309.0
